जानती ,Knowing
केंद्र ,Center
औषधि ,Medicine
उत्सव ,festival
इनसे ,from these
साथियों ,Peers
संसाधन ,resources
सदन ,House
सूखे ,Dried
संकल्प ,resolution
शक्तिशाली ,Powerful
व्यर्थ ,in vain
मिश्रण ,Mixture
बोरोन ,Boron
निकालने ,Removal
घूम ,Wander
गुस्सा ,anger
क्षति ,Damage
उठती ,Rose
अरब ,Arab
अत्यंत ,Extremely
अक्षर ,Letter
संस्थानों ,Institutions
सुपर ,Super
संगठनों ,Organizations
विशेषकर ,Especially
वेद ,Veda
महाराजा ,King
भरत ,Bharat
बोझ ,Burden
बादल ,Cloud
बयान ,Statement
पत्तियां ,Leaves
चढ़ ,Climbing
उम्मीद ,Hope
उपेक्षा ,Ignore
सिद्धान्तों ,Principles
स्व ,Self
सुनते ,Hearing
सकते ,Can
रबड़ ,rubber
मेल ,Match
मेकअप ,Makeup
भूत ,ghost
बनते ,Bun
प्रशंसा ,appreciation
प्रतिदिन ,daily
पूछ ,Ask
दबाव ,Pressure
दण्ड ,Punishment
टुकड़े ,pieces
गहराई ,depth
खींच ,Stretch
उर्वरक ,Fertilizer
हिंसा ,violence
साधना ,meditation
सेवाओं ,Services
सर्वथा ,Utterly
लेखन ,Writing
परेशानी ,Trouble
प्रताप ,Pratap
पेड़ों ,Trees
चेष्टा ,effort
व्याकरण ,Grammer
लाइसेंस ,License
ललित ,Lalit
रूस ,Russia
मील ,Mile
बर्फ ,ice
पाप ,Sin
पुत्री ,Daughter
दफ्तर ,Workplace
जानवर ,animal
गाने ,Songs
कार्यकर्ता ,Worker
कलाकारों ,Artists
करता ,Do
उत्पाद ,Product
आएँ ,Come
सोचते ,Thinking
सीख ,Learning
सास ,mother-in-law
वीणा ,Veena
यूरेनियम ,Uranium
मौलिक ,original
मारने ,Kill
मुहम्मद ,Muhammad
बिल ,Bill
बचत ,Savings
प्रावधान ,provision
पचास ,fifty
नागरिक ,citizen
नेहरू ,Nehru
देन ,Gift
गिरने ,Fall
गहरे ,Deep
उपन्यास ,Novel
इलाके ,the areas
आन्तरिक ,Internal
हिन्दुस्तान ,Hindustan
संसद ,Parliament
स्वीकृति ,Acceptance
संपर्क ,Contact
विभाजन ,Division
लौटने ,Return
मंच ,Forum
भाग्य ,fate
बेहद ,Extremely
बुलाया ,called
पाए ,Found
प्रयोगशाला ,the laboratory
प्रमाणित ,Certified
प्रभावशाली ,impressive
जीत ,Victory
जानवरों ,Animals
गुस्से ,Anger
गर्दन ,Neck
गुरू ,Guru
अधिकतम ,Maximum
सृष्टि ,Nature
शिक्षित ,Educated
शहद ,Honey
वरन ,Varan
रोम ,Rome
बदन ,body
फैला ,Split
फेंक ,Throw
पिछड़े ,Backward
परिश्रम ,Hard work
परिवारों ,Families
परिभाषा ,definition
प्रारम्भिक ,Preliminary
पुरुषों ,Men
निरीक्षण ,Supervision
दास ,Slave
देव ,God
ताकत ,might
तंत्र ,Mechanism
तत्कालीन ,contemporaneous
तकनीक ,Technique
चलाने ,Run
गठन ,Build
अनुभूति ,Feeling
हिन्दुओं ,Hindus
हिंदू ,Hindu
हालांकि ,Although
सामूहिक ,the collective
सरकारों ,Governments
संयंत्र ,plant
सुंदर ,Beautiful!
सृजन ,Creation
वैसी ,Likely
लावनी ,Lavani
लक्षणों ,Symptoms
राहुलजी ,Rahul ji
युवा ,young
मूर्ति ,statue
बेर ,Berry
पाण्डु ,Pandu
ध्रुपद ,Dhrupad
तथ्यों ,Facts
ढेर ,Pile
जायें ,Go
ग्रन्थों ,Texts
गणित ,mathematics
कहानियों ,Stories
अशोक ,Ashoka
साबित ,Proven
समझना ,Understand
संज्ञा ,noun
शांत ,Calm
श्रीलंका ,Sri Lanka
श्रमिक ,Laborer
शर्त ,term
लिपि ,Script
मानवीय ,human
पक्षियों ,Birds
निवासी ,resident
तुलनात्मक ,Comparative
चमक ,Glow
गोल ,round
खाकर ,after eating
कोट ,Coat
इंच ,Inch
आसन ,Posture
अकेला ,alone
शर्मा ,Sharma
विश्वविद्यालय ,university
विधायक ,MLA
वर्मा ,Varma
वैद्य ,Vaidya
राजस्थानी ,Rajasthani
मानना ,Accept
भरपूर ,abundant
भगत ,follower
बस्ती ,colony
बैठने ,Sit
प्रतिभा ,Talent
प्रजा ,People
प्रकोप ,the outbreak
नायक ,hero
दोस्त ,Friend
तिवारी ,Tiwari
घड़ी ,watch
गलती ,Mistake
कार्बन ,Carbon
उपचार ,remedy
ईसाई ,Christian
आवेदन ,Application
आयुर्वेद ,Ayurveda
आदर ,respect
अत्याचार ,Torture
हिमालय ,Himalaya
हंस ,goose
सोचता ,Thinking
विश्वनाथ ,Vishwanath
वेतन ,salary
मथुरा ,Mathura
भाभी ,sister in law
भेजे ,Sent
ब्यूरो ,Bureau
बनती ,Manufacture
पक्षों ,Sides
घरेलू ,domestic
गणना ,Calculation
कहलाता ,Calling
कलावती ,Kalavati
करना ,do
उदाहरणार्थ ,For example
उड़ ,Flying
आघात ,the strokes
हमला ,assault
व्यावसायिक ,commercial
लोकप्रिय ,popular
रेलवे ,railway
मिश्रित ,miscellaneous
महान ,Great
मेहनत ,Hard work
बिन्दु ,the dot
फलतः ,Consequently
प्रोफेसर ,Professor
प्रचलन ,the trend
औसत ,average
एकाएक ,Suddenly
उपस्थिति ,appearance
उन्नति ,Development
आधे ,Half
अली ,Ali
सरस्वती ,Saraswati
समर्थ ,Capable
सम्भवतः ,Probably
सड़कों ,Roads
विशेषज्ञ ,specialist
विद्रोह ,Rebellion
वात ,Air
व्यस्त ,Busy
लाकर ,Lacquer
राव ,Rao
योजनाओं ,Plans
मंत्र ,mantra
बताने ,tell
बताते ,Telling
प्रश्नों ,Questions
पकड़ा ,caught
नोट ,note
निवेदन ,Submission
न्याय ,Justice
धूल ,dust
दाने ,Grain
दान ,charity
देवीगढ़ ,Devigarh
तरल ,liquid
कोरियाई ,Korean
किलोमीटर ,Kilometer
किताब ,Book
क्षमा ,pardon
इंजन ,engine
आए ,Returns
असफल ,fail
हल्की ,Mild
सावित्री ,Savitri
सरदार ,Sardar
सगर्भता ,Sarginess
शुभ ,good
लहर ,Wave
लेखा ,Account
मासिक ,Monthly
मद्रास ,Madras
मंगल ,Mars
भली ,Well
भेजने ,Send
बिजलीघर ,Electricity house
बनाता ,Create
पवित्र ,Holy
परिषद ,council
परि ,Angel
पूछा ,Asked
नौकर ,Servant
निकालकर ,by removing
नासिक्य ,Nashikya
तापमान ,temperature
तरीका ,method
झूठ ,Lie
जाती ,Jet
छुट्टी ,holiday
घाट ,Ghat
गोबर ,cow-dung
कामों ,Works
कश्मीर ,Kashmir
ऊंची ,High
उन्नत ,Advanced
आजाद ,Azad
आग्रह ,request
अमृतसर ,Amritsar
अनु ,Compliance
अद्भुत ,stunning
अतः ,Therefore
सिखों ,Sikhs
साधु ,Saint
संदेश ,Message
लिखित ,written record
लेप ,Paste
मर्यादा ,Modesty
मेज ,Table
मुख्यतः ,Mainly
भाजपा ,B J P
बेकार ,useless
पैदावार ,yield
नाश ,Destruction
दलों ,Parties
जापान ,Japan
गोपाल ,Gopal
कोशिकाओं ,Cells
काटने ,Cutting
कूद ,Jump
उपदेश ,Sermon
उड़ान ,flight
अंतरिक्ष ,space
सहसा ,Suddenly
व्यास ,Diameter
मित्रों ,Friends
भोग ,Indulgence
बुला ,Call
प्रातः ,In the morning
पढ़ा ,Read
पढ़ते ,Reading
घोड़ा ,horse
गुफा ,Cave
खुल ,Open
खुराक ,diet
उपायों ,Measures
उपयोगिता ,utility
इलाज ,treatment
आवाज़ ,sound
आलू ,potato
हटा ,Remove
स्वस्तिक ,Swastika
समीक्षा ,Review
संक्रमण ,Infection
सैकड़ों ,Hundreds
शोर ,noise
शब्दावली ,Glossary
यौगिक ,Compound
मना ,deny
मंडल ,Board
बचने ,Escape
प्रेमनाथ ,Premnath
परम ,Supreme
निधि ,Fund
नेताजी ,Netaji
चुनौती ,the challenge
गौतम ,Gautam
खिड़की ,window
किस्में ,Varieties
करते ,Do
कटाई ,Harvesting
असाधारण ,Extraordinary
स्मरण ,Reconciliation
समग्र ,Overall
सुनी ,Listening
रेडियो ,radio
मामूली ,Mild
बीमार ,Sick
फायदा ,Benefit
पुराणों ,Puranas
प्रस्तावों ,Proposals
प्रधानता ,Primacy
पन्द्रह ,Fifteen
नाव ,boat
तुल्फ ,Tulf
तत्काल ,Immediately
जोड़ा ,couple
चाल ,Speed
चूहे ,mice
चलना ,Walking
गाया ,Sung
गला ,throat
खैर ,So
कोर्ट ,Court
कराना ,Do
कंपनी ,company
इसने ,He
इनको ,To them
अर्थव्यवस्था ,Economy
अंचल ,Zone
हल्का ,Light
सुनिश्चित ,make sure
वरना ,Otherwise
बुनियादी ,Basic
दैनिक ,Daily
जुड़े ,Linked
खुली ,open
कुमार ,Youth
कुमाऊँ ,Kumaon
आंगन ,Courtyard
